Date,Open,High,Low,Close,Volume
4/15/10,1210.77,1213.92,1208.5,1211.67,3330738889
4/16/10,1210.17,1210.17,1186.77,1192.13,4504705556
4/19/10,1192.06,1197.87,1183.68,1197.52,3665411111
4/20/10,1199.04,1208.58,1199.04,1207.17,2953661111
4/21/10,1207.16,1210.99,1198.85,1205.94,3180172222
4/22/10,1202.52,1210.27,1190.19,1208.67,3353211111
4/23/10,1207.87,1217.28,1205.1,1217.28,2958922222
4/26/10,1217.07,1219.8,1211.07,1212.05,3137644444
4/27/10,1209.92,1211.38,1181.62,1183.71,4141411111
4/28/10,1184.59,1195.05,1181.81,1191.36,3523505556
4/29/10,1193.3,1209.36,1193.3,1206.78,3366338889
4/30/10,1206.77,1207.99,1186.32,1186.69,3360144444
5/3/10,1188.58,1205.13,1188.58,1202.26,2743361111
5/4/10,1197.5,1197.5,1168.12,1173.6,3663733333
5/5/10,1169.24,1175.95,1158.15,1165.87,3775522222
5/6/10,1164.38,1167.58,1065.79,1128.15,5898783333
5/7/10,1127.04,1135.13,1094.15,1110.88,5262727778
5/10/10,1122.27,1163.85,1122.27,1159.73,3829833333
5/11/10,1156.39,1170.48,1147.71,1155.79,3245861111
5/12/10,1155.43,1172.87,1155.43,1171.67,2903033333
5/13/10,1170.04,1173.57,1156.14,1157.44,2705911111
5/14/10,1157.19,1157.19,1126.14,1135.68,3403555556
5/17/10,1136.52,1141.88,1114.96,1136.94,3290511111
5/18/10,1138.78,1148.66,1117.2,1120.8,3428244444
5/19/10,1119.57,1124.27,1100.66,1115.05,3758777778
5/20/10,1107.34,1107.34,1071.58,1071.59,4626983333
5/21/10,1067.26,1090.16,1055.9,1087.69,3028961111
5/24/10,1084.78,1089.95,1072.7,1073.65,2902244444
5/25/10,1067.42,1074.75,1040.78,1074.03,4071988889
5/26/10,1075.51,1090.75,1065.59,1067.95,2511694444
5/27/10,1074.27,1103.52,1074.27,1103.06,3165811111
5/28/10,1102.59,1102.59,1084.78,1089.41,2706227778
6/1/10,1087.3,1094.77,1069.89,1070.71,2928600000
6/2/10,1073.01,1098.56,1072.03,1098.38,2792422222
6/3/10,1098.82,1105.67,1091.81,1102.83,2775538889
6/4/10,1098.43,1098.43,1060.5,1064.88,3433655556
6/7/10,1065.84,1071.36,1049.86,1050.47,3037533333
6/8/10,1050.81,1063.15,1042.17,1062,3440416667
6/9/10,1062.75,1077.74,1052.25,1055.69,3324000000
6/10/10,1058.77,1087.85,1058.77,1086.84,2858211111
6/11/10,1082.65,1092.25,1077.12,1091.6,2255155556
6/14/10,1095,1105.91,1089.03,1089.63,2458794444
6/15/10,1091.21,1115.59,1091.21,1115.23,2580272222
6/16/10,1114.02,1118.74,1107.13,1114.61,2779222222
6/17/10,1115.98,1117.72,1105.87,1116.04,2532088889
6/18/10,1116.16,1121.01,1113.93,1117.51,2530755556
6/21/10,1122.79,1131.23,1108.24,1113.2,2507977778
6/22/10,1113.9,1118.5,1094.18,1095.31,2507988889
6/23/10,1095.57,1099.64,1085.31,1092.04,2514527778
6/24/10,1090.93,1090.93,1071.6,1073.69,2674905556
6/25/10,1075.1,1083.56,1067.89,1076.76,2849355556
6/28/10,1077.5,1082.6,1071.45,1074.57,2164672222
6/29/10,1071.1,1071.1,1035.18,1041.24,3409277778
6/30/10,1040.56,1048.08,1028.33,1030.71,2815044444
7/1/10,1031.1,1033.58,1010.91,1027.37,3575427778
7/2/10,1027.65,1032.95,1015.93,1022.58,2204722222
7/6/10,1028.09,1042.5,1018.35,1028.06,2606244444
7/7/10,1028.54,1060.89,1028.54,1060.27,2739566667
7/8/10,1062.92,1071.25,1058.24,1070.25,2526922222
7/9/10,1070.5,1078.16,1068.1,1077.96,1948094444
7/12/10,1077.23,1080.78,1070.45,1078.75,1903883333
7/13/10,1080.65,1099.46,1080.65,1095.34,2578033333
7/14/10,1095.61,1099.08,1087.68,1095.17,2511694444
7/15/10,1094.46,1098.66,1080.53,1096.48,2529150000
7/16/10,1093.85,1093.85,1063.32,1064.88,2942972222
7/19/10,1066.85,1074.7,1061.11,1071.25,2271944444
7/20/10,1064.53,1083.94,1056.88,1083.48,2618488889
7/21/10,1086.67,1088.96,1065.25,1069.59,2637322222
7/22/10,1072.14,1097.5,1072.14,1093.67,2681611111
7/23/10,1092.17,1103.73,1087.88,1102.66,2513650000
7/26/10,1102.89,1115.01,1101.3,1115.01,2227583333
7/27/10,1117.36,1120.95,1109.78,1113.84,2625383333
7/28/10,1112.84,1114.66,1103.11,1106.13,2223550000
7/29/10,1108.07,1115.9,1092.82,1101.53,2562455556
7/30/10,1098.44,1106.44,1088.01,1101.6,2225805556
8/2/10,1107.53,1127.3,1107.53,1125.86,2302322222
8/3/10,1125.34,1125.44,1116.76,1120.46,2262122222
8/4/10,1121.06,1128.75,1119.46,1127.24,2254361111
8/5/10,1125.78,1126.56,1118.81,1125.81,2047533333
8/6/10,1122.07,1123.06,1107.17,1121.64,2143272222
8/9/10,1122.8,1129.24,1120.91,1127.79,2210755556
8/10/10,1122.92,1127.16,1111.58,1121.06,2210755556
8/11/10,1116.89,1116.89,1088.55,1089.47,2506588889
8/12/10,1081.48,1086.72,1076.69,1083.61,2511694444
8/13/10,1082.22,1086.25,1079,1079.25,1849383333
8/16/10,1077.49,1082.62,1069.49,1079.38,1745805556
8/17/10,1081.16,1100.14,1081.16,1092.54,2204561111
8/18/10,1092.08,1099.77,1085.76,1094.16,2069033333
8/19/10,1092.44,1092.44,1070.66,1075.63,2383633333
8/20/10,1075.63,1075.63,1063.91,1071.69,2089761111
8/23/10,1073.36,1081.58,1067.08,1067.36,1783861111
8/24/10,1063.2,1063.2,1046.68,1051.87,2464627778
8/25/10,1048.98,1059.38,1039.83,1055.33,2422327778
8/26/10,1056.28,1061.45,1045.4,1047.22,2025950000
8/27/10,1049.27,1065.21,1039.7,1064.59,2279144444
8/30/10,1062.9,1064.4,1048.79,1048.92,1621105556
8/31/10,1046.88,1055.14,1040.88,1049.33,2243761111
9/1/10,1049.72,1081.3,1049.72,1080.29,2442711111
9/2/10,1080.66,1090.1,1080.39,1090.1,2057894444
9/3/10,1093.61,1105.1,1093.61,1104.51,1963611111
9/7/10,1102.6,1102.6,1091.15,1091.84,1726322222
9/8/10,1092.36,1103.26,1092.36,1098.87,1791466667
9/9/10,1101.15,1110.27,1101.15,1104.18,1882094444
9/10/10,1104.57,1110.88,1103.92,1109.55,1700644444
9/13/10,1113.38,1123.87,1113.38,1121.9,2511694444
9/14/10,1121.16,1127.36,1115.58,1121.1,2511694444
9/15/10,1119.43,1126.46,1114.63,1125.07,1872133333
9/16/10,1123.89,1125.44,1118.88,1124.66,1868933333
9/17/10,1126.39,1131.47,1122.43,1125.59,2270077778
9/20/10,1126.57,1144.86,1126.57,1142.71,1868933333
9/21/10,1142.82,1148.59,1136.22,1139.78,2319811111
9/22/10,1139.49,1144.38,1131.58,1134.28,2172816667
9/23/10,1131.1,1136.77,1122.79,1124.83,2137694444
9/24/10,1131.69,1148.9,1131.69,1148.67,2291083333
9/27/10,1148.64,1149.92,1142,1142.16,1993255556
9/28/10,1142.31,1150,1132.09,1147.7,2236577778
9/29/10,1146.75,1148.63,1140.26,1144.73,2216822222
9/30/10,1145.97,1157.16,1136.08,1141.2,2380088889
10/1/10,1143.49,1150.3,1139.42,1146.24,2388283333
10/4/10,1144.96,1148.16,1131.87,1137.03,2002283333
